uid	sex	bdate	city	langs
305397843	female		Петровск-Забайкальский	
304922661	female		Чита	
304802030	female	2.8	Петровск-Забайкальский	
304799381	female		Петровск-Забайкальский	
303068981	male	15.9	Амазар	
302018082	female	27.1	Кяхта	
300591296	male		Чита	
299471838	male	26.7.2001	Забайкальск	
298982438	female	2.12.2002	Забайкальск	
297884709	female		Забайкальск	
297882855	female	9.5	Петровск-Забайкальский	
296770730	female	2.7.2001	Чита	Русский,English,Español,Italiano
339269730	female	7.12.1994	Забайкальск	
296656096	male	25.1	Красный Чикой	
295030966	female	30.9.1974	Москва	
294905057	female	24.5.1994	Петровск-Забайкальский	
294778358	female	9.3.1996	Петровск-Забайкальский	
293792267	male	2.2.2000	Забайкальск	
293498145	male	16.10	Москва	
293061828	male		Красноярск	
292831075	male	23.3.2002	Петровск-Забайкальский	
291744836	male	12.2.1997	Забайкальск	
290577626	female	30.3	Петровск	
290245769	male	6.12.2000	Петровск-Забайкальский	
290088883	male	5.6.1996	Чита	
287537548	female	11.8.2002	Шилка	
286377788	male	18.9	Забайкальск	
284674586	female	4.10.2002	Петровск-Забайкальский	
284186031	male	11.6.2001	Подольск	
283486935	female	21.12.2001	Чита	
283274766	female	28.3.2000	Москва	
282654604	male	30.6.1998	Новосибирск	
281777772	male	18.8.1996	Иркутск	
281637670	male	6.2	Евпатория	
280282381	female	23.6.1990	Нерчинск	
279937655	male	4.9.1997	Улан-Удэ	
279097249	female	12.5	Бузулук	
278626722	male	18.7	Петровск-Забайкальский	
301276722	male	21.4.2001	Чита	
278604670	female	14.10.1984	Забайкальск	
277767790	male	30.9.1990	Петровск-Забайкальский	
277333334	female	15.10	Забайкальск	
277012174	female	8.11	Петровск-Забайкальский	
353476174	male	5.7	Петровск-Забайкальский	
276151205	female	6.6	Петровск	
276029993	female	19.10	Чита	
274738875	male	17.6	Beijing	
274414601	male	14.6.1999	Сретенск	
274390865	female		Пенза	
274326780	female	5.5	Чита	
274040814	male	6.1.1997	Петровск-Забайкальский	
320493814	male	1.9.2000	Москва	
272641033	male	5.7.1987	Москва	
270837163	female	9.10.2001	Агинское	
270319850	male	21.5	Петровск-Забайкальский	
270318034	female	13.7	Улан-Удэ	
270086752	female	17.9	Петровск-Забайкальский	
269861392	female	15.11	Петровск-Забайкальский	
269728634	male		Петровск-Забайкальский	
269452613	male		Забайкальск	
269438817	female	26.2	Чита	
269345432	male	11.10.1989	Агинское	
268686236	female	1.5.1995	Петровск-Забайкальский	
268416507	male	5.5.1999	Агинское	
267594317	female	20.3	Петровск-Забайкальский	
266984670	male	20.11	Забайкальск	
266480191	female	11.9.1993	Петровск-Забайкальский	
266472681	male	3.7	Краснокаменск	
266324110	male		Москва	
266128631	female	19.6.2001	Петровск-Забайкальский	
264050753	male	12.1.1989	Забайкальск	
271905753	female	27.4.1997	Забайкальск	
263417365	male		Петровск-Забайкальский	
263149542	female	18.10.2001	Забайкальск	
263038742	male	11.1.2001	Чита	
294410467	male	15.6.2001	Забайкальск	Русский,English,Français,íslenska
357716938	female	26.5	Улан-Удэ	
260549906	female	17.3	Улан-Удэ	
259134683	male	16.12.1997	Краснокаменск	Русский,English
357183683	male		Артемовский	
258530866	female	23.5	Забайкальск	
258195676	female	29.9.1993	Чита	
257765216	male	13.8	Забайкальск	
257480431	female	13.7.2001	Красноярск	
256335356	female	26.8.2001	Горный	
255746715	female		Петровск-Забайкальский	
255689738	female	15.8	Петровск-Забайкальский	
254785657	female		Забайкальск	
254293962	female	26.6	Забайкальск	
253836569	female		Петровск-Забайкальский	
253828367	female	10.3.1988	Ангарск	
253654119	male	21.5.2000	Чита	
328032119	female	24.12.2002	Чита	
253652427	male	8.4	Москва	
253066181	female	29.12	Чита	
252703849	female	6.7	Петровск-Забайкальский	
251324588	male	30.5.1981	Минск	
251231719	male	17.4.1915	Самара	
250484992	female	6.8	Забайкальск	
249806048	female	5.7	Чита	
249049264	female	9.8.1999	Петровск-Забайкальский	
248604893	male	20.9.1994	Хабаровск	
248372991	female	21.5.1996	Забайкальск	
247785941	male	1.9.1997	Чита	Русский,English
247227997	female	24.8.2000	Чита	
247170777	male		Краснодар	
247000201	female		Забайкальск	
331222201	female	16.10.2002	Петровск-Забайкальский	
246346683	female	21.7.1999	Петровск-Забайкальский	
245478927	female	30.3	Рязань	
245339148	male		Петровск-Забайкальский	
245229518	male	10.5	Петровск-Забайкальский	
245100835	male		Забайкальск	
243951919	male	4.1.1979	Куанда	
243551168	female	23.2.2002	Забайкальск	
243477429	female	7.5.1989	Краснодар	
243407060	female	28.2.1999	Карымское	
243241922	female	20.4.1999	Шелопугино	
258549922	female		Петровск-Забайкальский	
243030208	female	21.1.1978	Петровск-Забайкальский	
242500225	male	1.2	Петровск-Забайкальский	
241150955	female	2.12.1982	Забайкальск	
240435614	male	4.8.1997	Забайкальск	
239471374	male	23.8.1997	Улан-Удэ	Русский,English
239464824	male	1.5.1987	Забайкальский	
352514723	male	25.5.2000	Забайкальск	
238822980	male	11.8	Забайкальск	
237756985	male		Борзя	
270851985	male	22.1.2000	Улан-Удэ	
237442738	female	4.11	Улан-Удэ	
236902109	male	16.8	Петровск-Забайкальский	
235808277	female	23.9.1994	Улан-Удэ	
235326443	female	3.9	Санкт-Петербург	Русский,English
235087253	male	10.9.1989	Краснокаменск	
234700293	female		Петровск-Забайкальский	
233752769	female	17.2	Первомайский	
233620815	male	7.2.1999	Петровск-Забайкальский	
233512660	female	16.12.1996	Петровск-Забайкальский	
233009197	female	1.7.1996	Чита	
232637298	female	14.5.1999	Петровск-Забайкальский	
231671238	female	10.5.2000	Петровск-Забайкальский	
231269434	male		Забайкальск	
231186560	female		Омск	
230677911	male	23.3.2001	Забайкальск	Русский,日本語
230411882	female	8.9.1991	Петровск-Забайкальский	
229793108	female	6.1.1998	Петровск-Забайкальский	
229303143	male	9.8	Советская Гавань	
229276471	male	24.3.1999	Чита	
229189800	male	27.11	Чита	
229045287	female	20.6	Забайкальск	
228695261	male	17.10	Чита	
228693614	female	15.8.1991	Малета	
228161072	female	11.7.1996	Петровск-Забайкальский	
249023072	male	13.3.2001	Чита	
227775265	female	22.7	Сосновый Бор	
227639122	male	25.1.1998	Петровск-Забайкальский	Русский,English,Українська
227127242	female	8.6.1992	Vilnius	
226334023	male	22.10	Забайкальск	
291847023	male	25.10.1990	Петровск-Забайкальский	
296027023	female	27.10	Чита	
226203963	male	27.8.1990	Чита	
226026465	male	28.7.1996	Газимурский Завод	
225800410	female	14.12	Забайкальск	
272498710	male	11.10	Усолье-Сибирское	
224826315	female	9.10.1995	Чита	
241519315	female	21.1	Чита	
223679820	female	21.9	Чита	Русский,English
223618207	male	18.3	Забайкальск	
223029212	female	29.12	Зея	
366975212	female	3.11	Чита	
223023523	female	9.12.1988	Забайкальск	
222702113	female	23.5.1996	Санкт-Петербург	
239623113	male		Сретенск	
222521747	male	28.11.1985	Ижевск	
222513455	male		Иркутск	
222078685	female	7.1	Петровск-Забайкальский	
221315582	male	5.12	Чита	
220582055	female	27.11	Петровск-Забайкальский	
219956905	male	15.3.1991	Чита	
219881637	female	10.10.2001	Чита	Русский,English
219684774	male	2.12	Чита	
219222876	female	15.1	Забайкальск	
217413090	male	4.10.2000	Петровск-Забайкальский	
216678901	male	16.3.1978	Ростов-на-Дону	
216528680	male	28.5.1999	Забайкальск	
215110528	male	8.10.1993	Петровск-Забайкальский	
214646066	male	22.1.1992	Улан-Удэ	
221545066	female	25.5.1998	Чита	
214465330	female	13.8.1985	Санкт-Петербург	
213599651	female	5.1.2002	Екатеринбург	
311848651	female	13.3.2001	Красный Чикой	
213494693	female	26.1.1990	Забайкальск	
340172693	female	5.5.1991	Забайкальск	Русский,English
213383276	male	15.4	Забайкальск	
213331919	female	16.7	Чита	
213248330	male	4.6.1996	Петровск-Забайкальский	Русский,English
268271330	male	23.5.1998	Москва	
211849522	male	5.4.1997	Чита	
211832609	male	26.7.1987	Петровск-Забайкальский	
211466515	female	16.12	Петровск-Забайкальский	
211189024	female	24.5	Ангарск	
210484153	male	20.8	Петровск-Забайкальский	
210409379	male	16.6.1964	Москва	
233519379	male	22.8.1991	Москва	
208760665	male		Забайкальск	Русский,Буряад,English,中文 (繁體)
208214966	male	2.9.1999	Петровск-Забайкальский	
206839509	female		Санкт-Петербург	
206575317	female		Карымское	
206435233	female	29.9.1994	Петровск-Забайкальский	
206419722	male	17.5	Чита	
206169158	female	20.4	Забайкальск	Русский,English
